DATE,Sales
2/1/1970,42.5578
3/1/1970,41.6215
4/1/1970,40.1982
5/1/1970,39.9321
6/1/1970,41.1847
7/1/1970,43.223
8/1/1970,44.8139
9/1/1970,43.6007
10/1/1970,40.5467
11/1/1970,40.9385
12/1/1970,42.1117
1/1/1971,44.9517
2/1/1971,44.3696
3/1/1971,42.7548
4/1/1971,41.4234
5/1/1971,40.8295
6/1/1971,43.5488
7/1/1971,45.1876
8/1/1971,46.1091
9/1/1971,45.505
10/1/1971,43.9496
11/1/1971,44.003
12/1/1971,45.6054
1/1/1972,48.8393
2/1/1972,50.0191
3/1/1972,47.8421
4/1/1972,44.5127
5/1/1972,42.1062
6/1/1972,43.8217
7/1/1972,45.3964
8/1/1972,47.9892
9/1/1972,46.8293
10/1/1972,44.6882
11/1/1972,47.1979
12/1/1972,52.176
1/1/1973,55.9342
2/1/1973,53.9974
3/1/1973,50.5102
4/1/1973,46.8192
5/1/1973,44.9289
6/1/1973,47.4589
7/1/1973,49.3168
8/1/1973,51.091
9/1/1973,50.0826
10/1/1973,47.0794
11/1/1973,47.8829
12/1/1973,49.7968
1/1/1974,53.8212
2/1/1974,51.6563
3/1/1974,49.7985
4/1/1974,46.8319
5/1/1974,45.4161
6/1/1974,47.1087
7/1/1974,50.7056
8/1/1974,51.7371
9/1/1974,48.6742
10/1/1974,47.1172
11/1/1974,47.7516
12/1/1974,52.9379
1/1/1975,55.6989
2/1/1975,54.4115
3/1/1975,52.1395
4/1/1975,49.3369
5/1/1975,46.1066
6/1/1975,47.3769
7/1/1975,50.5251
8/1/1975,52.2585
9/1/1975,49.432
10/1/1975,46.7476
11/1/1975,47.7981
12/1/1975,54.4112
1/1/1976,60.6121
2/1/1976,56.9337
3/1/1976,52.9187
4/1/1976,48.7185
5/1/1976,46.6811
6/1/1976,49.2486
7/1/1976,52.022
8/1/1976,53.3791
9/1/1976,51.1013
10/1/1976,49.1373
11/1/1976,53.2579
12/1/1976,60.8207
1/1/1977,66.1065
2/1/1977,61.3553
3/1/1977,54.9875
4/1/1977,50.5114
5/1/1977,49.3162
6/1/1977,52.3147
7/1/1977,55.7601
8/1/1977,55.929
9/1/1977,53.2255
10/1/1977,50.7423
11/1/1977,51.8983
12/1/1977,59.5842
1/1/1978,65.4681
2/1/1978,64.4632
3/1/1978,58.7322
4/1/1978,51.4137
5/1/1978,49.9912
6/1/1978,53.1982
7/1/1978,55.5156
8/1/1978,57.5132
9/1/1978,55.0594
10/1/1978,52.1993
11/1/1978,54.0541
12/1/1978,60.7576
1/1/1979,68.7075
2/1/1979,68.1212
3/1/1979,61.374
4/1/1979,55.2722
5/1/1979,51.4048
6/1/1979,53.2473
7/1/1979,55.4418
8/1/1979,57.6476
9/1/1979,54.2322
10/1/1979,52.7558
11/1/1979,54.6456
12/1/1979,60.0874
1/1/1980,65.381
2/1/1980,64.7721
3/1/1980,60.8807
4/1/1980,53.1114
5/1/1980,49.7992
6/1/1980,52.4268
7/1/1980,58.5254
8/1/1980,60.4105
9/1/1980,57.738
10/1/1980,54.7637
11/1/1980,56.4616
12/1/1980,63.4413
1/1/1981,69.2715
2/1/1981,63.6341
3/1/1981,60.1027
4/1/1981,54.1446
5/1/1981,52.2484
6/1/1981,56.4915
7/1/1981,60.622
8/1/1981,60.6506
9/1/1981,56.3729
10/1/1981,54.6841
11/1/1981,55.7249
12/1/1981,63.4345
1/1/1982,70.6727
2/1/1982,64.2728
3/1/1982,59.7759
4/1/1982,54.109
5/1/1982,49.8577
6/1/1982,52.7065
7/1/1982,56.6437
8/1/1982,57.1923
9/1/1982,54
10/1/1982,51.7022
11/1/1982,54.0655
12/1/1982,58.7664
1/1/1983,65.9628
2/1/1983,59.162
3/1/1983,57.314
4/1/1983,52.9718
5/1/1983,49.1707
6/1/1983,51.7103
7/1/1983,57.9314
8/1/1983,61.588
9/1/1983,57.8078
10/1/1983,53.7753
11/1/1983,55.798
12/1/1983,65.6301
1/1/1984,73.2688
2/1/1984,66.2545
3/1/1984,63.2801
4/1/1984,57.4501
5/1/1984,55.1499
6/1/1984,57.9273
7/1/1984,60.6775
8/1/1984,62.3596
9/1/1984,58.0827
10/1/1984,54.7212
11/1/1984,57.1673
12/1/1984,63.3492
1/1/1985,72.6803
2/1/1985,70.8479
3/1/1985,62.6166
4/1/1985,57.6106
5/1/1985,55.4467
6/1/1985,58.2228
7/1/1985,62.7591
8/1/1985,63.3921
9/1/1985,60.7507
10/1/1985,56.4553
11/1/1985,58.1385
12/1/1985,68.8758
1/1/1986,73.4956
2/1/1986,68.1637
3/1/1986,62.3923
4/1/1986,57.1915
5/1/1986,55.9599
